"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
171;171;93;"Neptunio";"Np";6;"VI";"Np1O3";"NpO_{3}";"Óxido PerNeptúnico";"Óxido de Neptunio (VI)";"TriÓxido de MonoNeptunio";"2Np + O_{2} \rightarrow 2NpO_{3}";"93 - Np - Neptunio"
172;172;94;"Plutonio";"Pu";3;"III";"Pu2O3";"Pu_{2}O_{3}";"Óxido HipoPlutonioso";"Óxido de Plutonio (III)";"TriÓxido de DiPlutonio";"2Pu + O_{2} \rightarrow Pu_{2}O_{3}";"94 - Pu - Plutonio"
173;173;94;"Plutonio";"Pu";4;"IV";"Pu1O2";"PuO_{2}";"Óxido Plutonioso";"Óxido de Plutonio (IV)";"DiÓxido de MonoPlutonio";"2Pu + O_{2} \rightarrow 2PuO_{2}";"94 - Pu - Plutonio"
174;174;94;"Plutonio";"Pu";5;"V";"Pu2O5";"Pu_{2}O_{5}";"Óxido Plutónico";"Óxido de Plutonio (V)";"PentaÓxido de DiPlutonio";"2Pu + O_{2} \rightarrow Pu_{2}O_{5}";"94 - Pu - Plutonio"
175;175;94;"Plutonio";"Pu";6;"VI";"Pu1O3";"PuO_{3}";"Óxido PerPlutónico";"Óxido de Plutonio (VI)";"TriÓxido de MonoPlutonio";"2Pu + O_{2} \rightarrow 2PuO_{3}";"94 - Pu - Plutonio"
176;176;95;"Americio";"Am";3;"III";"Am2O3";"Am_{2}O_{3}";"Óxido HipoAmericioso";"Óxido de Americio (III)";"TriÓxido de DiAmericio";"2Am + O_{2} \rightarrow Am_{2}O_{3}";"95 - Am - Americio"
177;177;95;"Americio";"Am";4;"IV";"Am1O2";"AmO_{2}";"Óxido Americioso";"Óxido de Americio (IV)";"DiÓxido de MonoAmericio";"2Am + O_{2} \rightarrow 2AmO_{2}";"95 - Am - Americio"
178;178;95;"Americio";"Am";5;"V";"Am2O5";"Am_{2}O_{5}";"Óxido Amerícico";"Óxido de Americio (V)";"PentaÓxido de DiAmericio";"2Am + O_{2} \rightarrow Am_{2}O_{5}";"95 - Am - Americio"
179;179;95;"Americio";"Am";6;"VI";"Am1O3";"AmO_{3}";"Óxido PerAmerícico";"Óxido de Americio (VI)";"TriÓxido de MonoAmericio";"2Am + O_{2} \rightarrow 2AmO_{3}";"95 - Am - Americio"
180;180;96;"Curio";"Cm";3;"III";"Cm2O3";"Cm_{2}O_{3}";"Óxido de Curio";"Óxido de Curio (III)";"TriÓxido de DiCurio";"2Cm + O_{2} \rightarrow Cm_{2}O_{3}";"96 - Cm - Curio"
181;181;97;"Berkelio";"Bk";3;"III";"Bk2O3";"Bk_{2}O_{3}";"Óxido Berkelioso";"Óxido de Berkelio (III)";"TriÓxido de DiBerkelio";"2Bk + O_{2} \rightarrow Bk_{2}O_{3}";"97 - Bk - Berkelio"
182;182;97;"Berkelio";"Bk";4;"IV";"Bk1O2";"BkO_{2}";"Óxido Berkélico";"Óxido de Berkelio (IV)";"DiÓxido de MonoBerkelio";"2Bk + O_{2} \rightarrow 2BkO_{2}";"97 - Bk - Berkelio"
183;183;98;"Californio";"Cf";3;"III";"Cf2O3";"Cf_{2}O_{3}";"Óxido de Californio";"Óxido de Californio (III)";"TriÓxido de DiCalifornio";"2Cf + O_{2} \rightarrow Cf_{2}O_{3}";"98 - Cf - Californio"
184;184;99;"Einstenio";"Es";4;"IV";"Es1O2";"EsO_{2}";"Óxido de Einstenio";"Óxido de Einstenio (IV)";"DiÓxido de MonoEinstenio";"2Es + O_{2} \rightarrow 2EsO_{2}";"99 - Es - Einstenio"
185;185;100;"Fermio";"Fm";4;"IV";"Fm1O2";"FmO_{2}";"Óxido de Fermio";"Óxido de Fermio (IV)";"DiÓxido de MonoFermio";"2Fm + O_{2} \rightarrow 2FmO_{2}";"100 - Fm - Fermio"
186;186;101;"Mendelevio";"Md";3;"III";"Md2O3";"Md_{2}O_{3}";"Óxido Mendelevioso";"Óxido de Mendelevio (III)";"TriÓxido de DiMendelevio";"2Md + O_{2} \rightarrow Md_{2}O_{3}";"101 - Md - Mendelevio"
187;187;101;"Mendelevio";"Md";4;"IV";"Md1O2";"MdO_{2}";"Óxido Mendelévico";"Óxido de Mendelevio (IV)";"DiÓxido de MonoMendelevio";"2Md + O_{2} \rightarrow 2MdO_{2}";"101 - Md - Mendelevio"
188;188;102;"Nobelio";"No";3;"III";"No2O3";"No_{2}O_{3}";"Óxido Nobelioso";"Óxido de Nobelio (III)";"TriÓxido de DiNobelio";"2No + O_{2} \rightarrow No_{2}O_{3}";"102 - No - Nobelio"
189;189;102;"Nobelio";"No";4;"IV";"No1O2";"NoO_{2}";"Óxido Nobélico";"Óxido de Nobelio (IV)";"DiÓxido de MonoNobelio";"2No + O_{2} \rightarrow 2NoO_{2}";"102 - No - Nobelio"
190;190;103;"Laurencio";"Lr";3;"III";"Lr2O3";"Lr_{2}O_{3}";"Óxido Laurencioso";"Óxido de Laurencio (III)";"TriÓxido de DiLaurencio";"2Lr + O_{2} \rightarrow Lr_{2}O_{3}";"103 - Lr - Laurencio"
191;191;103;"Laurencio";"Lr";4;"IV";"Lr1O2";"LrO_{2}";"Óxido Lauréncico";"Óxido de Laurencio (IV)";"DiÓxido de MonoLaurencio";"2Lr + O_{2} \rightarrow 2LrO_{2}";"103 - Lr - Laurencio"
192;192;104;"Rutherfordio";"Rf";4;"IV";"Rf1O2";"RfO_{2}";"Óxido de Rutherfordio";"Óxido de Rutherfordio (IV)";"DiÓxido de MonoRutherfordio";"2Rf + O_{2} \rightarrow 2RfO_{2}";"104 - Rf - Rutherfordio"
193;193;105;"Dubnio";"Db";4;"IV";"Db1O2";"DbO_{2}";"Óxido de Dubnio";"Óxido de Dubnio (IV)";"DiÓxido de MonoDubnio";"2Db + O_{2} \rightarrow 2DbO_{2}";"105 - Db - Dubnio"
194;194;106;"Seaborgio";"Sg";4;"IV";"Sg1O2";"SgO_{2}";"Óxido de Seaborgio";"Óxido de Seaborgio (IV)";"DiÓxido de MonoSeaborgio";"2Sg + O_{2} \rightarrow 2SgO_{2}";"106 - Sg - Seaborgio"
195;195;107;"Bohrio";"Bh";3;"III";"Bh2O3";"Bh_{2}O_{3}";"Óxido HipoBohrioso";"Óxido de Bohrio (III)";"TriÓxido de DiBohrio";"2Bh + O_{2} \rightarrow Bh_{2}O_{3}";"107 - Bh - Bohrio"
196;196;107;"Bohrio";"Bh";4;"IV";"Bh1O2";"BhO_{2}";"Óxido Bohrioso";"Óxido de Bohrio (IV)";"DiÓxido de MonoBohrio";"2Bh + O_{2} \rightarrow 2BhO_{2}";"107 - Bh - Bohrio"
197;197;107;"Bohrio";"Bh";5;"V";"Bh2O5";"Bh_{2}O_{5}";"Óxido Bóhrico";"Óxido de Bohrio (V)";"PentaÓxido de DiBohrio";"2Bh + O_{2} \rightarrow Bh_{2}O_{5}";"107 - Bh - Bohrio"
198;198;108;"Hassio";"Hs";2;"II";"Hs1O1";"HsO";"Óxido HipoHassioso";"Óxido de Hassio (II)";"MonÓxido de MonoHassio";"2Hs + O_{2} \rightarrow 2HsO";"108 - Hs - Hassio"
199;199;108;"Hassio";"Hs";4;"IV";"Hs1O2";"HsO_{2}";"Óxido Hassioso";"Óxido de Hassio (IV)";"DiÓxido de MonoHassio";"2Hs + O_{2} \rightarrow 2HsO_{2}";"108 - Hs - Hassio"
